Term,Frequency,URI,broader,broader label,broader,broader label,broader,broader label,broader,broader label,related,related label
ACEI or ARB for LVSD,9454,http://purl.org/twc/health/vocab/ACEI_or_ARB_for_LVSD,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Adult smoking cessation advice/counseling,14181,http://purl.bioontology.org/ontology/SNOMEDCT/86198006,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Aspirin at Arrival,4088,http://purl.org/twc/health/vocab/Aspirin_at_Arrival,http://purl.bioontology.org/ontology/SNOMEDCT/18629005,Administration of medication,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/7947003,Aspirin
Aspirin at arrival,4727,http://purl.org/twc/health/vocab/Aspirin_at_Arrival,http://purl.bioontology.org/ontology/SNOMEDCT/18629005,Administration of medication,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/7947003,Aspirin
Aspirin prescribed at discharge,4727,http://purl.org/twc/health/vocab/Aspirin_prescribed_at_discharge,http://purl.bioontology.org/ontology/SNOMEDCT/33633005,Prescription of drug,http://purl.bioontology.org/ontology/SNOMEDCT/129274004,Discharge - action,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/7947003,Aspirin
Beta blocker prescribed at discharge,4727,http://purl.org/twc/health/vocab/Beta_blocker_prescribed_at_discharge,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,http://purl.bioontology.org/ontology/SNOMEDCT/129274004,Discharge - action,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/33252009,beta-Blocking agent
Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,4727,http://purl.org/twc/health/vocab/Blood_Cultures_Performed_in_the_Emergency_Department_Prior_to_Initial_Antibiotic_Received_in_Hospital,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/225728007,Accident and Emergency department
Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,4727,http://purl.org/twc/health/vocab/Cardiac_Surgery_Patients_With_Controlled_6_AM_Postoperative_Blood_Glucose,http://purl.bioontology.org/ontology/SNOMEDCT/408466002,Cardiac surgery,http://purl.bioontology.org/ontology/SNOMEDCT/262061000,Postoperative period,http://purl.bioontology.org/ontology/SNOMEDCT/434912009,Blood glucose concentration,,,,
Discharge instructions,4727,http://purl.bioontology.org/ontology/SNOMEDCT/83362003,,,,,,,,,,
Evaluation of LVS Function,4727,http://purl.org/twc/health/vocab/Evaluation_of_LVS_Function,http://purl.bioontology.org/ontology/SNOMEDCT/129265001,Evaluation - action,,,,,,,,
Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,4088,http://purl.org/twc/health/vocab/Fibrinolytic_Therapy_Received_Within_30_Minutes_of_ED_Arrival,http://purl.bioontology.org/ontology/SNOMEDCT/277132007,Therapeutic procedure,,,,,,,,
Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival,4727,http://purl.org/twc/health/vocab/Fibrinolytic_Therapy_Received_Within_30_Minutes_Of_Hospital_Arrival,http://purl.bioontology.org/ontology/SNOMEDCT/277132007,Therapeutic procedure,,,,,,,,
Home Management Plan of Care Document,112,http://purl.org/twc/health/vocab/Home_Management_Plan_of_Care_Document,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Influenza vaccination,4727,http://purl.bioontology.org/ontology/SNOMEDCT/86198006,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Initial antibiotic received within 6 hours of hospital arrival,4727,http://purl.org/twc/health/vocab/Initial_antibiotic_received_within_6_hours_of_hospital_arrival,http://purl.bioontology.org/ontology/SNOMEDCT/32485007,Hospital admission,http://purl.bioontology.org/ontology/SNOMEDCT/281789004,Antibiotic therapy,,,,,,
Initial antibiotic selection for CAP in immunocompetent patient,4727,http://purl.org/twc/health/vocab/Initial_antibiotic_selection_for_CAP_in_immunocompetent_patient,http://purl.bioontology.org/ontology/SNOMEDCT/128927009,Procedure by method,,,,,,,,
Median Time to ECG,4088,http://purl.org/twc/health/vocab/Median_Time_to_ECG,http://purl.bioontology.org/ontology/SNOMEDCT/164845003,ECG - general,,,,,,,,
